"","crid","incident_date","officer_id"
"1",1042463,"04-Jan-2011  0:00",1
"2",1042463,"04-Jan-2011  0:00",2
"3",1042463,"04-Jan-2011  0:00",3
"4",1042463,"04-Jan-2011  0:00",4
"5",1042534,"06-Jan-2011  22:50",5
"6",1042534,"06-Jan-2011  22:50",6
"7",1042534,"06-Jan-2011  22:50",7
"8",1042534,"06-Jan-2011  22:50",8
"9",1042534,"06-Jan-2011  22:50",9
"10",1042534,"06-Jan-2011  22:50",10
"11",1042534,"06-Jan-2011  22:50",11
"12",1042534,"06-Jan-2011  22:50",12
"13",1042609,"03-Jan-2011  0:00",13
"14",1042609,"03-Jan-2011  0:00",14
"15",1042788,"18-Jan-2011  0:00",15
"16",1042788,"18-Jan-2011  0:00",16
"17",1042788,"18-Jan-2011  0:00",17
"18",1042909,"23-Jan-2011  3:01",18
"19",1042909,"23-Jan-2011  3:01",19
"20",1042910,"23-Jan-2011  1:58",20
"21",1042910,"23-Jan-2011  1:58",21
"22",1042910,"23-Jan-2011  1:58",22
"23",1042910,"23-Jan-2011  1:58",23
"24",1042910,"23-Jan-2011  1:58",24
"25",1042910,"23-Jan-2011  1:58",25
"26",1042963,"14-Jan-2011  0:00",26
"27",1042963,"14-Jan-2011  0:00",27
"28",1042963,"14-Jan-2011  0:00",28
"29",1042963,"14-Jan-2011  0:00",29
"30",1042963,"14-Jan-2011  0:00",30
"31",1042963,"14-Jan-2011  0:00",31
"32",1042963,"14-Jan-2011  0:00",32
"33",1042963,"14-Jan-2011  0:00",33
"34",1042963,"14-Jan-2011  0:00",34
"35",1042963,"14-Jan-2011  0:00",35
"36",1042963,"14-Jan-2011  0:00",36
"37",1042963,"14-Jan-2011  0:00",37
"38",1043261,"11-Feb-2011  21:00",38
"39",1043261,"11-Feb-2011  21:00",39
"40",1043405,"17-Feb-2011  0:00",40
"41",1043405,"17-Feb-2011  0:00",41
"42",1043424,"17-Feb-2011  0:00",42
"43",1043424,"17-Feb-2011  0:00",43
"44",1043593,"15-Feb-2011  0:00",44
"45",1043593,"15-Feb-2011  0:00",45
"46",1043666,"28-Feb-2011  22:00",46
"47",1043666,"28-Feb-2011  22:00",47
"48",1043666,"28-Feb-2011  22:00",48
"49",1043666,"28-Feb-2011  22:00",49
"50",1043666,"28-Feb-2011  22:00",50
"51",1043666,"28-Feb-2011  22:00",51
"52",1043666,"28-Feb-2011  22:00",52
"53",1043666,"28-Feb-2011  22:00",53
"54",1043666,"28-Feb-2011  22:00",16
"55",1043945,"13-Mar-2011  23:30",54
"56",1043945,"13-Mar-2011  23:30",55
"57",1043945,"13-Mar-2011  23:30",56
"58",1044389,"30-Mar-2011  0:00",57
"59",1044389,"30-Mar-2011  0:00",58
"60",1044575,"05-Apr-2011  16:00",59
"61",1044882,"02-Apr-2011  0:00",42
"62",1044882,"02-Apr-2011  0:00",60
"63",1044883,"21-Apr-2011  16:24",48
"64",1044883,"21-Apr-2011  16:24",61
"65",1044883,"21-Apr-2011  16:24",62
"66",1044883,"21-Apr-2011  16:24",15
"67",1044883,"21-Apr-2011  16:24",51
"68",1044883,"21-Apr-2011  16:24",16
"69",1044883,"21-Apr-2011  16:24",17
"70",1044921,"23-Apr-2011  14:30",63
"71",1044921,"23-Apr-2011  14:30",64
"72",1044921,"23-Apr-2011  14:30",40
"73",1044921,"23-Apr-2011  14:30",65
"74",1044921,"23-Apr-2011  14:30",41
"75",1044921,"23-Apr-2011  14:30",66
"76",1045247,"08-May-2011  0:00",67
"77",1045247,"08-May-2011  0:00",68
"78",1045247,"08-May-2011  0:00",14
"79",1045459,"15-May-2011  23:45",69
"80",1045459,"15-May-2011  23:45",39
"81",1045608,"20-May-2011  18:30",70
"82",1045646,"24-May-2011  0:00",40
"83",1045646,"24-May-2011  0:00",41
"84",1045801,"31-May-2011  20:15",71
"85",1045801,"31-May-2011  20:15",72
"86",1045811,"25-May-2011  22:29",73
"87",1045811,"25-May-2011  22:29",74
"88",1045811,"25-May-2011  22:29",75
"89",1045811,"25-May-2011  22:29",76
"90",1045811,"25-May-2011  22:29",77
"91",1046066,"10-Jun-2011  0:00",42
"92",1046120,"13-Jun-2011  0:00",21
"93",1046120,"13-Jun-2011  0:00",24
"94",1046249,"17-Jun-2011  22:30",78
"95",1046249,"17-Jun-2011  22:30",79
"96",1046329,"20-Jun-2011  0:00",15
"97",1046383,"22-Jun-2011  0:00",59
"98",1046383,"22-Jun-2011  0:00",80
"99",1046438,"24-Jun-2011  19:00",81
"100",1046438,"24-Jun-2011  19:00",76
"101",1046438,"24-Jun-2011  19:00",82
"102",1046486,"26-Jun-2011  0:45",83
"103",1046486,"26-Jun-2011  0:45",84
"104",1046486,"26-Jun-2011  0:45",85
"105",1046486,"26-Jun-2011  0:45",86
"106",1046486,"26-Jun-2011  0:45",87
"107",1046486,"26-Jun-2011  0:45",88
"108",1046575,"29-Jun-2011  1:24",89
"109",1046575,"29-Jun-2011  1:24",90
"110",1046639,"02-Jul-2011  15:00",91
"111",1046684,"04-Jul-2011  23:59",92
"112",1046684,"04-Jul-2011  23:59",89
"113",1046684,"04-Jul-2011  23:59",93
"114",1046795,"08-Jul-2011  15:05",40
"115",1046795,"08-Jul-2011  15:05",41
"116",1046813,"10-Jul-2011  1:00",94
"117",1046813,"10-Jul-2011  1:00",95
"118",1046813,"10-Jul-2011  1:00",96
"119",1046813,"10-Jul-2011  1:00",97
"120",1046813,"10-Jul-2011  1:00",98
"121",1046813,"10-Jul-2011  1:00",99
"122",1046813,"10-Jul-2011  1:00",100
"123",1047074,"14-Jul-2011  0:40",101
"124",1047128,"18-Jul-2011  0:00",102
"125",1047128,"18-Jul-2011  0:00",36
"126",1047189,"24-Jul-2011  0:00",14
"127",1047249,"09-Jul-2011  23:00",45
"128",1047453,"24-Jun-2011  17:00",103
"129",1047453,"24-Jun-2011  17:00",104
"130",1047453,"24-Jun-2011  17:00",105
"131",1047453,"24-Jun-2011  17:00",106
"132",1047453,"24-Jun-2011  17:00",107
"133",1047453,"24-Jun-2011  17:00",108
"134",1047453,"24-Jun-2011  17:00",109
"135",1047453,"24-Jun-2011  17:00",110
"136",1047453,"24-Jun-2011  17:00",111
"137",1047453,"24-Jun-2011  17:00",112
"138",1047453,"24-Jun-2011  17:00",57
"139",1047453,"24-Jun-2011  17:00",113
"140",1047453,"24-Jun-2011  17:00",114
"141",1047453,"24-Jun-2011  17:00",115
"142",1047453,"24-Jun-2011  17:00",58
"143",1047473,"04-Aug-2011  22:45",116
"144",1047473,"04-Aug-2011  22:45",117
"145",1047505,"06-Aug-2011  1:19",72
"146",1047505,"06-Aug-2011  1:19",118
"147",1047513,"05-Aug-2011  19:45",78
"148",1047532,"07-Aug-2011  17:00",116
"149",1047532,"07-Aug-2011  17:00",119
"150",1047532,"07-Aug-2011  17:00",117
"151",1047568,"08-Aug-2011  16:15",70
"152",1047568,"08-Aug-2011  16:15",120
"153",1047716,"14-Aug-2011  21:00",70
"154",1047716,"14-Aug-2011  21:00",121
"155",1047941,"22-Aug-2011  18:00",40
"156",1047941,"22-Aug-2011  18:00",41
"157",1047967,"23-Aug-2011  16:00",70
"158",1047967,"23-Aug-2011  16:00",122
"159",1048079,"29-Aug-2011  0:00",123
"160",1048079,"29-Aug-2011  0:00",124
"161",1048088,"30-Aug-2011  0:30",83
"162",1048088,"30-Aug-2011  0:30",84
"163",1048088,"30-Aug-2011  0:30",87
"164",1048097,"26-Aug-2011  0:00",125
"165",1048097,"26-Aug-2011  0:00",126
"166",1048097,"26-Aug-2011  0:00",9
"167",1048097,"26-Aug-2011  0:00",127
"168",1048495,"13-Aug-2011  21:00",49
"169",1048592,"16-Sep-2011  20:21",28
"170",1048592,"16-Sep-2011  20:21",128
"171",1048592,"16-Sep-2011  20:21",102
"172",1048592,"16-Sep-2011  20:21",36
"173",1048627,"14-Sep-2011  16:30",129
"174",1048627,"14-Sep-2011  16:30",130
"175",1048627,"14-Sep-2011  16:30",131
"176",1048627,"14-Sep-2011  16:30",132
"177",1048627,"14-Sep-2011  16:30",133
"178",1048627,"14-Sep-2011  16:30",91
"179",1048627,"14-Sep-2011  16:30",134
"180",1048627,"14-Sep-2011  16:30",135
"181",1048627,"14-Sep-2011  16:30",136
"182",1048627,"14-Sep-2011  16:30",137
"183",1048690,"20-Sep-2011  20:00",72
"184",1048834,"12-Sep-2011  0:00",49
"185",1048834,"12-Sep-2011  0:00",51
"186",1048919,"29-Sep-2011  0:00",83
"187",1048919,"29-Sep-2011  0:00",84
"188",1048919,"29-Sep-2011  0:00",138
"189",1048919,"29-Sep-2011  0:00",87
"190",1048919,"29-Sep-2011  0:00",139
"191",1048919,"29-Sep-2011  0:00",140
"192",1049200,"07-Oct-2011  0:00",141
"193",1049250,"12-Oct-2011  0:00",70
"194",1049250,"12-Oct-2011  0:00",121
"195",1049280,"12-Oct-2011  0:00",49
"196",1049280,"12-Oct-2011  0:00",142
"197",1049316,"14-Oct-2011  19:30",102
"198",1049316,"14-Oct-2011  19:30",36
"199",1049389,"15-Oct-2011  1:00",143
"200",1049389,"15-Oct-2011  1:00",144
"201",1049421,"16-Oct-2011  17:15",145
"202",1049421,"16-Oct-2011  17:15",117
"203",1049454,"17-Oct-2011  23:00",78
"204",1049454,"17-Oct-2011  23:00",44
"205",1049456,"20-Oct-2011  0:00",49
"206",1049456,"20-Oct-2011  0:00",146
"207",1049456,"20-Oct-2011  0:00",51
"208",1049456,"20-Oct-2011  0:00",147
"209",1049456,"20-Oct-2011  0:00",148
"210",1049519,"23-Oct-2011  0:00",102
"211",1049519,"23-Oct-2011  0:00",36
"212",1049528,"24-Oct-2011  15:40",70
"213",1049528,"24-Oct-2011  15:40",121
"214",1049680,"29-Oct-2011  0:00",149
"215",1049694,"02-Oct-2011  2:00",150
"216",1049694,"02-Oct-2011  2:00",42
"217",1049704,"10-Oct-2011  23:40",151
"218",1049704,"10-Oct-2011  23:40",55
"219",1049887,"19-May-2011  0:00",123
"220",1049905,"08-Oct-2011  23:30",83
"221",1049905,"08-Oct-2011  23:30",152
"222",1049905,"08-Oct-2011  23:30",153
"223",1050107,"17-Nov-2011  13:30",55
"224",1050195,"22-Nov-2011  0:00",83
"225",1050195,"22-Nov-2011  0:00",85
"226",1050222,"20-Nov-2011  0:00",26
"227",1050222,"20-Nov-2011  0:00",102
"228",1050222,"20-Nov-2011  0:00",36
"229",1050257,"22-Nov-2011  13:00",26
"230",1050257,"22-Nov-2011  13:00",102
"231",1050257,"22-Nov-2011  13:00",36
"232",1050351,"29-Nov-2011  15:15",154
"233",1050351,"29-Nov-2011  15:15",42
"234",1050385,"30-Nov-2011  16:00",55
"235",1050409,"19-Nov-2011  0:00",42
"236",1050409,"19-Nov-2011  0:00",155
"237",1050504,"05-Dec-2011  0:00",55
"238",1050568,"04-Dec-2011  23:30",83
"239",1050568,"04-Dec-2011  23:30",152
"240",1050568,"04-Dec-2011  23:30",156
"241",1050592,"30-Nov-2011  1:00",157
"242",1050592,"30-Nov-2011  1:00",158
"243",1050653,"11-Dec-2011  18:30",78
"244",1050739,"26-Nov-2011  3:40",2
"245",1050753,"18-Dec-2011  16:50",59
"246",1050753,"18-Dec-2011  16:50",159
"247",1050758,"18-Dec-2011  0:00",160
"248",1050758,"18-Dec-2011  0:00",161
"249",1050758,"18-Dec-2011  0:00",45
"250",1050767,"19-Dec-2011  13:42",26
"251",1050767,"19-Dec-2011  13:42",36
"252",1050792,"11-Dec-2011  20:00",70
"253",1050792,"11-Dec-2011  20:00",121
"254",1050917,"18-Dec-2011  23:30",21
"255",1050988,"30-Dec-2011  15:50",55
"256",1050988,"30-Dec-2011  15:50",117
"257",1051056,"01-Jan-2012  0:00",162
"258",1051056,"01-Jan-2012  0:00",163
"259",1051056,"01-Jan-2012  0:00",164
"260",1051056,"01-Jan-2012  0:00",165
"261",1051056,"01-Jan-2012  0:00",166
"262",1051056,"01-Jan-2012  0:00",145
"263",1051056,"01-Jan-2012  0:00",167
"264",1051056,"01-Jan-2012  0:00",168
"265",1051056,"01-Jan-2012  0:00",169
"266",1051056,"01-Jan-2012  0:00",170
"267",1051238,"13-Dec-2011  0:00",171
"268",1051238,"13-Dec-2011  0:00",172
"269",1051436,"24-Jan-2012  0:30",72
"270",1051436,"24-Jan-2012  0:30",118
"271",1051624,"15-Dec-2011  21:40",173
"272",1051624,"15-Dec-2011  21:40",72
"273",1051624,"15-Dec-2011  21:40",174
"274",1051624,"15-Dec-2011  21:40",118
"275",1051648,"02-Feb-2012  18:53",75
"276",1051648,"02-Feb-2012  18:53",175
"277",1051651,"01-Feb-2012  23:00",72
"278",1051651,"01-Feb-2012  23:00",176
"279",1051651,"01-Feb-2012  23:00",177
"280",1051651,"01-Feb-2012  23:00",118
"281",1051651,"01-Feb-2012  23:00",178
"282",1051747,"30-Jan-2012  2:00",70
"283",1051747,"30-Jan-2012  2:00",179
"284",1051976,"18-Feb-2012  0:00",78
"285",1052264,"01-Mar-2012  20:40",46
"286",1052264,"01-Mar-2012  20:40",49
"287",1052528,"12-Mar-2012  22:30",180
"288",1052528,"12-Mar-2012  22:30",26
"289",1052528,"12-Mar-2012  22:30",181
"290",1052528,"12-Mar-2012  22:30",182
"291",1052528,"12-Mar-2012  22:30",183
"292",1052528,"12-Mar-2012  22:30",128
"293",1052528,"12-Mar-2012  22:30",102
"294",1052528,"12-Mar-2012  22:30",33
"295",1052528,"12-Mar-2012  22:30",36
"296",1052610,"07-Dec-2011  0:00",184
"297",1052610,"07-Dec-2011  0:00",149
"298",1052610,"07-Dec-2011  0:00",185
"299",1052610,"07-Dec-2011  0:00",186
"300",1052610,"07-Dec-2011  0:00",187
"301",1052630,"08-Mar-2012  1:00",72
"302",1052630,"08-Mar-2012  1:00",178
"303",1052630,"08-Mar-2012  1:00",188
"304",1052860,"24-Mar-2012  0:00",175
"305",1052860,"24-Mar-2012  0:00",17
"306",1052875,"24-Mar-2012  0:00",189
"307",1052875,"24-Mar-2012  0:00",15
"308",1052875,"24-Mar-2012  0:00",146
"309",1052911,"24-Mar-2012  20:30",102
"310",1052911,"24-Mar-2012  20:30",36
"311",1052965,"01-Mar-2012  0:00",47
"312",1052965,"01-Mar-2012  0:00",49
"313",1052965,"01-Mar-2012  0:00",148
"314",1053154,"07-Apr-2012  0:00",73
"315",1053154,"07-Apr-2012  0:00",42
"316",1053154,"07-Apr-2012  0:00",155
"317",1053160,"01-Apr-2012  10:30",190
"318",1053160,"01-Apr-2012  10:30",173
"319",1053160,"01-Apr-2012  10:30",191
"320",1053160,"01-Apr-2012  10:30",85
"321",1053160,"01-Apr-2012  10:30",72
"322",1053160,"01-Apr-2012  10:30",192
"323",1053160,"01-Apr-2012  10:30",152
"324",1053160,"01-Apr-2012  10:30",176
"325",1053160,"01-Apr-2012  10:30",193
"326",1053160,"01-Apr-2012  10:30",177
"327",1053160,"01-Apr-2012  10:30",118
"328",1053160,"01-Apr-2012  10:30",194
"329",1053160,"01-Apr-2012  10:30",178
"330",1053160,"01-Apr-2012  10:30",188
"331",1053223,"04-Apr-2012  0:00",40
"332",1053223,"04-Apr-2012  0:00",41
"333",1053226,"28-Mar-2012  0:00",49
"334",1053275,"12-Apr-2012  20:40",47
"335",1053275,"12-Apr-2012  20:40",15
"336",1053275,"12-Apr-2012  20:40",53
"337",1053364,"21-Mar-2012  15:00",49
"338",1053364,"21-Mar-2012  15:00",147
"339",1053395,"16-Apr-2012  0:45",195
"340",1053395,"16-Apr-2012  0:45",157
"341",1053395,"16-Apr-2012  0:45",21
"342",1053415,"17-Apr-2012  23:41",78
"343",1053415,"17-Apr-2012  23:41",196
"344",1053415,"17-Apr-2012  23:41",197
"345",1053415,"17-Apr-2012  23:41",198
"346",1053470,"18-Apr-2012  22:30",62
"347",1053470,"18-Apr-2012  22:30",15
"348",1053470,"18-Apr-2012  22:30",16
"349",1053616,"06-Apr-2012  0:00",26
"350",1053616,"06-Apr-2012  0:00",102
"351",1053616,"06-Apr-2012  0:00",33
"352",1053616,"06-Apr-2012  0:00",35
"353",1053616,"06-Apr-2012  0:00",36
"354",1053628,"14-Dec-2011  21:00",199
"355",1053628,"14-Dec-2011  21:00",200
"356",1053781,"04-May-2012  17:20",59
"357",1053781,"04-May-2012  17:20",201
"358",1053781,"04-May-2012  17:20",202
"359",1053782,"04-May-2012  17:50",9
"360",1053782,"04-May-2012  17:50",127
"361",1053862,"16-May-2011  18:58",59
"362",1053862,"16-May-2011  18:58",202
"363",1053862,"16-May-2011  18:58",203
"364",1053947,"09-May-2012  14:00",204
"365",1053947,"09-May-2012  14:00",205
"366",1053947,"09-May-2012  14:00",206
"367",1053947,"09-May-2012  14:00",207
"368",1053947,"09-May-2012  14:00",208
"369",1053947,"09-May-2012  14:00",40
"370",1053947,"09-May-2012  14:00",209
"371",1053947,"09-May-2012  14:00",41
"372",1053947,"09-May-2012  14:00",210
"373",1053947,"09-May-2012  14:00",211
"374",1054009,"29-Apr-2012  0:00",49
"375",1054009,"29-Apr-2012  0:00",146
"376",1054009,"29-Apr-2012  0:00",16
"377",1054109,"12-May-2012  0:00",62
"378",1054109,"12-May-2012  0:00",15
"379",1054196,"22-May-2012  14:28",59
"380",1054196,"22-May-2012  14:28",212
"381",1054325,"27-May-2012  0:00",91
"382",1054325,"27-May-2012  0:00",213
"383",1054329,"27-May-2012  22:10",39
"384",1054394,"30-May-2012  0:00",72
"385",1054394,"30-May-2012  0:00",118
"386",1054788,"15-Jun-2012  0:00",18
"387",1054894,"20-Aug-2011  0:00",83
"388",1054894,"20-Aug-2011  0:00",214
"389",1054894,"20-Aug-2011  0:00",215
"390",1054894,"20-Aug-2011  0:00",84
"391",1054894,"20-Aug-2011  0:00",85
"392",1054894,"20-Aug-2011  0:00",152
"393",1054894,"20-Aug-2011  0:00",216
"394",1054894,"20-Aug-2011  0:00",217
"395",1054894,"20-Aug-2011  0:00",218
"396",1054931,"20-Jun-2012  14:00",55
"397",1054963,"22-Jun-2012  0:00",195
"398",1054963,"22-Jun-2012  0:00",21
"399",1054980,"22-Jun-2012  0:00",149
"400",1054980,"22-Jun-2012  0:00",219
"401",1054980,"22-Jun-2012  0:00",58
"402",1054999,"21-Jun-2012  17:01",220
"403",1054999,"21-Jun-2012  17:01",221
"404",1054999,"21-Jun-2012  17:01",141
"405",1055056,"25-Jun-2012  0:00",102
"406",1055056,"25-Jun-2012  0:00",36
"407",1055376,"30-Jun-2012  11:50",222
"408",1055376,"30-Jun-2012  11:50",223
"409",1055376,"30-Jun-2012  11:50",18
"410",1055376,"30-Jun-2012  11:50",224
"411",1055376,"30-Jun-2012  11:50",225
"412",1055376,"30-Jun-2012  11:50",226
"413",1055376,"30-Jun-2012  11:50",227
"414",1055402,"09-Jul-2012  19:30",228
"415",1055402,"09-Jul-2012  19:30",91
"416",1055402,"09-Jul-2012  19:30",213
"417",1055410,"24-Jun-2012  21:30",229
"418",1055410,"24-Jun-2012  21:30",230
"419",1055410,"24-Jun-2012  21:30",231
"420",1055410,"24-Jun-2012  21:30",76
"421",1055410,"24-Jun-2012  21:30",232
"422",1055539,"14-Jul-2012  22:40",143
"423",1055539,"14-Jul-2012  22:40",168
"424",1055640,"24-Mar-2012  10:35",72
"425",1055640,"24-Mar-2012  10:35",118
"426",1055689,"01-Apr-2012  15:15",123
"427",1056033,"02-Aug-2012  0:00",89
"428",1056033,"02-Aug-2012  0:00",233
"429",1056033,"02-Aug-2012  0:00",234
"430",1056148,"07-Aug-2012  13:00",235
"431",1056148,"07-Aug-2012  13:00",40
"432",1056148,"07-Aug-2012  13:00",209
"433",1056148,"07-Aug-2012  13:00",41
